"STATION","NAME","DATE","EMSD","EMSN","EMXP","PRCP","SNOW","TAVG","TMAX","TMIN"
"US1NJUN0010","NEW PROVIDENCE 0.8 ESE, NJ US","2016-03",,,"0.30","1.58",,,,
"US1NJUN0010","NEW PROVIDENCE 0.8 ESE, NJ US","2016-04",,,"0.43","1.90",,,,
"US1NJUN0010","NEW PROVIDENCE 0.8 ESE, NJ US","2016-05",,,"0.61","3.89",,,,
"US1NJES0020","BLOOMFIELD 1.7 S, NJ US","2016-01",,"12.4","2.08","5.94","19.9",,,
"US1NJES0020","BLOOMFIELD 1.7 S, NJ US","2016-03",,,"0.43","1.36",,,,
"US1NJMD0039","EAST BRUNSWICK TWP 3.3 NNE, NJ US","2015-07",,,"0.57","2.12",,,,
"US1NJMD0039","EAST BRUNSWICK TWP 3.3 NNE, NJ US","2015-08",,"0.0","0.58","1.20","0.0",,,
"US1NJMD0039","EAST BRUNSWICK TWP 3.3 NNE, NJ US","2015-09",,,"1.87","3.09",,,,
"US1NJMD0039","EAST BRUNSWICK TWP 3.3 NNE, NJ US","2015-10",,,"2.01","4.32",,,,
"US1NJMD0039","EAST BRUNSWICK TWP 3.3 NNE, NJ US","2015-11",,,"0.78","1.57",,,,
"US1NJMD0038","EDISON TWP 1.9 N, NJ US","2015-07",,,"0.65","1.96",,,,
"US1NJMD0038","EDISON TWP 1.9 N, NJ US","2015-08",,,"0.41","1.30",,,,
"US1NJMD0038","EDISON TWP 1.9 N, NJ US","2015-10",,,"1.84","4.13",,,,
"US1NJMD0038","EDISON TWP 1.9 N, NJ US","2015-11",,,"0.73","1.46",,,,
"US1NJMD0038","EDISON TWP 1.9 N, NJ US","2015-12",,,"1.13","4.70",,,,
"US1NJMD0038","EDISON TWP 1.9 N, NJ US","2016-04",,,"0.33","0.87",,,,
"US1NJMD0038","EDISON TWP 1.9 N, NJ US","2016-05",,,"1.34","4.17",,,,
"US1NJES0024","CEDAR GROVE TWP 0.4 W, NJ US","2015-12",,,"1.60","5.15",,,,
"US1NJES0024","CEDAR GROVE TWP 0.4 W, NJ US","2016-01","20","21.9","2.05","4.18","23.3",,,
"US1NJES0024","CEDAR GROVE TWP 0.4 W, NJ US","2016-02",,"4.5","2.70","6.50","6.9",,,
"US1NJES0024","CEDAR GROVE TWP 0.4 W, NJ US","2016-03","1","0.8","0.36","1.43","1.6",,,
"US1NJES0024","CEDAR GROVE TWP 0.4 W, NJ US","2016-04","1","0.5","0.54","3.01","0.5",,,
"US1NJES0024","CEDAR GROVE TWP 0.4 W, NJ US","2016-05","0","0.0","0.77","3.32","0.0",,,
"US1NJBG0037","GLEN ROCK 0.4 WNW, NJ US","2015-07",,,"0.72","2.15",,,,
"US1NJBG0037","GLEN ROCK 0.4 WNW, NJ US","2015-08",,"0.0","0.54","1.10","0.0",,,
"US1NJBG0037","GLEN ROCK 0.4 WNW, NJ US","2015-09",,,"1.50","2.34",,,,
"US1NJBG0037","GLEN ROCK 0.4 WNW, NJ US","2015-10",,,"2.51","4.15",,,,
"US1NJBG0037","GLEN ROCK 0.4 WNW, NJ US","2015-11",,,"1.17","1.95",,,,
"US1NJBG0037","GLEN ROCK 0.4 WNW, NJ US","2015-12",,,"1.40","4.67",,,,
"US1NJBG0037","GLEN ROCK 0.4 WNW, NJ US","2016-01",,,"1.33","3.44",,,,
"US1NJBG0037","GLEN ROCK 0.4 WNW, NJ US","2016-02",,,"1.81","5.05",,,,
"US1NJBG0037","GLEN ROCK 0.4 WNW, NJ US","2016-03",,,"0.44","1.55",,,,
"US1NJBG0037","GLEN ROCK 0.4 WNW, NJ US","2016-05",,,"0.63","3.46",,,,
"US1NJBG0039","RIVER EDGE 0.4 NNE, NJ US","2016-03",,,"0.26","1.19",,,,
"US1NJBG0039","RIVER EDGE 0.4 NNE, NJ US","2016-04",,,"0.61","2.41",,,,
"US1NJBG0039","RIVER EDGE 0.4 NNE, NJ US","2016-05",,,"0.84","2.79",,,,
"US1NJHD0002","KEARNY 1.7 NW, NJ US","2015-07",,,"1.28","2.79",,,,
"US1NJHD0002","KEARNY 1.7 NW, NJ US","2015-08",,,"0.84","1.74",,,,
"US1NJHD0002","KEARNY 1.7 NW, NJ US","2015-09",,,"1.15","1.34",,,,
"US1NJHD0002","KEARNY 1.7 NW, NJ US","2015-10",,,"1.53","5.12",,,,
"US1NJHD0002","KEARNY 1.7 NW, NJ US","2015-11",,,"1.12","1.72",,,,
"US1NJHD0002","KEARNY 1.7 NW, NJ US","2015-12",,,"2.08","4.18",,,,
