"PASSENGERS","DISTANCE","UNIQUE_CARRIER","AIRLINE_ID","UNIQUE_CARRIER_NAME","ORIGIN_AIRPORT_ID","ORIGIN_AIRPORT_SEQ_ID","ORIGIN_CITY_MARKET_ID","ORIGIN","ORIGIN_CITY_NAME","ORIGIN_STATE_ABR","DEST_AIRPORT_ID","DEST_AIRPORT_SEQ_ID","DEST_CITY_MARKET_ID","DEST","DEST_CITY_NAME","DEST_STATE_ABR","YEAR","MONTH",
4250.00,1102.00,"B6",20409,"JetBlue Airways",14635,1463502,31714,"RSW","Fort Myers, FL","FL",12197,1219702,31703,"HPN","White Plains, NY","NY",2016,8,
4251.00,1079.00,"WN",19393,"Southwest Airlines Co.",14576,1457604,34576,"ROC","Rochester, NY","NY",15304,1530402,33195,"TPA","Tampa, FL","FL",2016,4,
4253.00,1079.00,"WN",19393,"Southwest Airlines Co.",15304,1530402,33195,"TPA","Tampa, FL","FL",14576,1457604,34576,"ROC","Rochester, NY","NY",2016,5,
4253.00,764.00,"9E",20363,"Endeavor Air Inc.",10693,1069302,30693,"BNA","Nashville, TN","TN",12953,1295302,31703,"LGA","New York, NY","NY",2016,8,
4254.00,1130.00,"WN",19393,"Southwest Airlines Co.",15304,1530402,33195,"TPA","Tampa, FL","FL",10257,1025702,30257,"ALB","Albany, NY","NY",2016,12,
4255.00,143.00,"C5",20445,"Commutair Aka Champlain Enterprises, Inc.",10257,1025702,30257,"ALB","Albany, NY","NY",11618,1161802,31703,"EWR","Newark, NJ","NJ",2016,11,
4255.00,2446.00,"AA",19805,"American Airlines Inc.",14679,1467903,33570,"SAN","San Diego, CA","CA",12478,1247803,31703,"JFK","New York, NY","NY",2016,2,
4256.00,1428.00,"B6",20409,"JetBlue Airways",12478,1247803,31703,"JFK","New York, NY","NY",12191,1219102,31453,"HOU","Houston, TX","TX",2016,8,
4257.00,1130.00,"WN",19393,"Southwest Airlines Co.",10257,1025702,30257,"ALB","Albany, NY","NY",15304,1530402,33195,"TPA","Tampa, FL","FL",2016,5,
4257.00,2422.00,"AA",19805,"American Airlines Inc.",12478,1247803,31703,"JFK","New York, NY","NY",14747,1474703,30559,"SEA","Seattle, WA","WA",2016,3,
4260.00,1626.00,"B6",20409,"JetBlue Airways",11292,1129202,30325,"DEN","Denver, CO","CO",12478,1247803,31703,"JFK","New York, NY","NY",2016,3,
4261.00,541.00,"B6",20409,"JetBlue Airways",11057,1105703,31057,"CLT","Charlotte, NC","NC",12478,1247803,31703,"JFK","New York, NY","NY",2016,11,
